specimen_collection_date,new_cases,cumulative_cases,data_as_of,data_loaded_at
02/10/2022 12:00:00 AM,276,118587,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/13/2022 12:00:00 AM,105,119039,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/16/2022 12:00:00 AM,197,119691,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/19/2022 12:00:00 AM,77,120121,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/22/2022 12:00:00 AM,187,120510,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/25/2022 12:00:00 AM,132,120901,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
02/28/2022 12:00:00 AM,125,121160,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/03/2022 12:00:00 AM,114,121518,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/06/2022 12:00:00 AM,57,121720,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/09/2022 12:00:00 AM,97,122010,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/12/2022 12:00:00 AM,58,122254,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/15/2022 12:00:00 AM,95,122499,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/18/2022 12:00:00 AM,84,122800,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/21/2022 12:00:00 AM,122,123033,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/24/2022 12:00:00 AM,122,123458,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/27/2022 12:00:00 AM,71,123691,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/30/2022 12:00:00 AM,159,124169,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/02/2022 12:00:00 AM,81,124538,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
04/05/2022 12:00:00 AM,187,125019,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/05/2020 12:00:00 AM,6,8,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/08/2020 12:00:00 AM,1,14,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/11/2020 12:00:00 AM,9,29,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/14/2020 12:00:00 AM,10,64,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
03/17/2020 12:00:00 AM,27,143,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
